match_id,home_team,away_team,score
9256,SZUFLA SE II. ↔,KSI SE V.,8 : 8
8965,BVSC-Zugló Senior I. ↔,BVSC-Zugló SI IV.,4 : 12
8718,BVSC-Zugló Senior I. ↔,Pénzügyőr SE VII.,2 : 14
8720,BVSC-Zugló SI IV. ↔,ANY Biztonsági SK I.,14 : 2
8703,SZUFLA SE I.-Kerepes ↔,SZUFLA SE II.,10 : 6
8704,BVSC-Zugló Senior I. ↔,Budai XI. SE II.,3 : 13
8706,ABC Centerline I. ↔,Pénzügyőr SE VII.,3 : 13
8700,Honvéd Zrínyi SE I. ↔,BVSC-Zugló SI IV.,10 : 6
8705,KSI SE IV. ↔,KSI SE V.,11 : 5
8701,KSI Senior-KÖZGÁZ SC és DSK ↔,ANY Biztonsági SK I.,10 : 6
8702,Erzsébeti Hajós II. ↔,Hercules-Neting Team,1 : 15
8713,BVSC-Zugló SI IV. ↔,ABC Centerline I.,11 : 5
8714,Honvéd Zrínyi SE I. ↔,Hercules-Neting Team,6 : 10
8707,Pénzügyőr SE VII. ↔,KSI SE IV.,6 : 10
9259,BVSC-Zugló SI IV. ↔,Budai XI. SE II.,9 : 7
9253,Honvéd Zrínyi SE I. ↔,BVSC-Zugló Senior I.,8 : 8
9258,ANY Biztonsági SK I. ↔,KSI SE IV.,7 : 9
9255,Erzsébeti Hajós II. ↔,MAFC II.,3 : 13
9257,Hercules-Neting Team ↔,ABC Centerline I.,12 : 4
9254,KSI Senior-KÖZGÁZ SC és DSK ↔,SZUFLA SE I.-Kerepes,5 : 11
