match_id,home_team,away_team,score
9256,SZUFLA SE II. ↔,KSI SE V.,8 : 8
8965,BVSC-Zugló Senior I. ↔,BVSC-Zugló SI IV.,4 : 12
8718,BVSC-Zugló Senior I. ↔,Pénzügyőr SE VII.,2 : 14
8720,BVSC-Zugló SI IV. ↔,ANY Biztonsági SK I.,14 : 2
8703,SZUFLA SE I.-Kerepes ↔,SZUFLA SE II.,10 : 6
8704,BVSC-Zugló Senior I. ↔,Budai XI. SE II.,3 : 13
8706,ABC Centerline I. ↔,Pénzügyőr SE VII.,3 : 13
8700,Honvéd Zrínyi SE I. ↔,BVSC-Zugló SI IV.,10 : 6
8705,KSI SE IV. ↔,KSI SE V.,11 : 5
8701,KSI Senior-KÖZGÁZ SC és DSK ↔,ANY Biztonsági SK I.,10 : 6
8702,Erzsébeti Hajós II. ↔,Hercules-Neting Team,1 : 15
8713,BVSC-Zugló SI IV. ↔,ABC Centerline I.,11 : 5
8714,Honvéd Zrínyi SE I. ↔,Hercules-Neting Team,6 : 10
8707,Pénzügyőr SE VII. ↔,KSI SE IV.,6 : 10
9228,MAFC II. ↔,KSI SE IV.,10 : 6
9229,SZUFLA SE I.-Kerepes ↔,BVSC-Zugló Senior I.,9 : 7
9226,KSI Senior-KÖZGÁZ SC és DSK ↔,Pénzügyőr SE VII.,7 : 9
9224,Honvéd Zrínyi SE I. ↔,KSI SE V.,9 : 7
9227,Erzsébeti Hajós II. ↔,ABC Centerline I.,7 : 9
9230,Hercules-Neting Team ↔,SZUFLA SE II.,10 : 6
9231,ANY Biztonsági SK I. ↔,Budai XI. SE II.,5 : 11
